City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
220,Kulhudhuffushi,MV,2020-05-12 22:00:11,6.62,73.07,84.9,75,89,5.26,light rain,0,0
221,Gat,IL,2020-05-12 21:56:45,31.61,34.76,71.01,64,0,7.56,clear sky,0,0
222,Storsteinnes,NO,2020-05-12 22:00:11,69.24,19.23,32.0,86,98,21.92,light snow,0,0
223,Gamba,GA,2020-05-12 22:00:12,-2.65,10.0,78.58,90,100,3.24,moderate rain,0,0
224,Port-Gentil,GA,2020-05-12 22:00:12,-0.72,8.78,82.4,88,40,4.7,scattered clouds,0,0
225,Marystown,CA,2020-05-12 22:00:12,47.17,-55.15,40.71,98,100,11.56,light rain,0,0
226,Paamiut,GL,2020-05-12 21:58:50,61.99,-49.67,40.3,91,100,9.64,light rain,0,0
227,Sibolga,ID,2020-05-12 22:00:12,1.74,98.78,77.56,78,100,3.56,overcast clouds,0,0
228,Zhurivka,UA,2020-05-12 22:00:13,50.5,31.78,41.0,65,75,13.42,broken clouds,0,0
229,Usab,PH,2020-05-12 22:00:14,12.33,123.58,82.06,77,42,2.75,scattered clouds,0,0
230,Upata,VE,2020-05-12 22:00:14,8.01,-62.4,79.0,87,86,1.99,light rain,0,0
231,Comodoro Rivadavia,AR,2020-05-12 22:00:01,-45.87,-67.5,50.0,53,20,8.05,few clouds,0,0
232,Srednekolymsk,RU,2020-05-12 22:00:14,67.45,153.68,41.97,67,0,5.75,clear sky,0,0
233,Puerto Maldonado,PE,2020-05-12 22:00:14,-12.6,-69.18,83.26,68,77,0.96,broken clouds,0,0
234,Norman Wells,CA,2020-05-12 21:58:32,65.28,-126.83,41.0,87,75,9.17,broken clouds,0,0
235,Ngunguru,NZ,2020-05-12 22:00:14,-35.62,174.5,62.01,85,76,8.01,light rain,0,0
236,Qaqortoq,GL,2020-05-12 22:00:15,60.72,-46.03,53.6,32,100,17.22,light rain,0,0
237,Ahipara,NZ,2020-05-12 21:57:25,-35.17,173.17,62.92,70,95,14.67,overcast clouds,0,0
238,Haines Junction,CA,2020-05-12 22:00:15,60.75,-137.51,70.2,25,10,1.72,clear sky,0,0
239,Kukushtan,RU,2020-05-12 22:00:15,57.65,56.5,55.4,76,90,13.42,overcast clouds,0,0
240,Hasaki,JP,2020-05-12 21:58:31,35.73,140.83,69.01,88,20,6.93,few clouds,0,0
241,Cabo San Lucas,MX,2020-05-12 22:00:15,22.89,-109.91,89.6,18,5,11.41,clear sky,0,0
242,Nanortalik,GL,2020-05-12 22:00:16,60.14,-45.24,43.97,66,100,11.97,overcast clouds,0,0
243,Emerald,AU,2020-05-12 22:00:16,-23.53,148.17,57.99,71,13,6.93,few clouds,0,0
